name,withdrawalFee,treasuryFee,strategistReward,keepCRV
USDC,0.5,10.0,10.0,
curve.fi/y,0.5,5.0,,10.0
TUSD,0.0,10.0,10.0,
DAI,0.5,10.0,10.0,
USDT,0.5,10.0,10.0,
YFI,,,,
curve.fi/busd,0.5,5.0,,10.0
curve.fi/sbtc,0.5,5.0,,10.0
WETH,0.5,10.0,10.0,
curve.fi/3pool,0.5,4.5,0.5,10.0
GUSD,,,,
curve.fi/compound,0.5,5.5,0.0,15.0
curve.fi/musd,0.5,10.0,10.0,10.0
curve.fi/gusd,0.5,10.0,10.0,5.0
curve.fi/eurs,0.5,10.0,10.0,5.0
mUSD,0.0,10.0,10.0,
curve.fi/renbtc,0.0,10.0,10.0,10.0
curve.fi/usdn,0.0,10.0,10.0,50.0
curve.fi/ust,0.0,10.0,10.0,10.0
curve.fi/bbtc,0.5,10.0,10.0,10.0
curve.fi/tbtc,0.5,10.0,10.0,10.0
curve.fi/obtc,0.5,10.0,10.0,10.0
curve.fi/pbtc,0.5,10.0,10.0,10.0
curve.fi/hbtc,0.5,10.0,10.0,10.0
curve.fi/susd,0.5,10.0,10.0,10.0
curve.fi/husd,0.5,10.0,10.0,10.0
curve.fi/dusd,0.5,10.0,10.0,10.0
curve.fi/aave,0.5,10.0,10.0,10.0
curve.fi/ankreth,0.5,10.0,10.0,5.0
